visitor,visitor_score,home,home_score
Utah Jazz,81,San Antonio Spurs,118
Houston Rockets,108,Denver Nuggets,114
New Orleans Pelicans,101,Portland Trail Blazers,105
Cleveland Cavaliers,89,Boston Celtics,77
Denver Nuggets,112,Minnesota Timberwolves,100
Houston Rockets,97,Sacramento Kings,107
Milwaukee Bucks,95,Los Angeles Lakers,113
Dallas Mavericks,81,Indiana Pacers,107
Charlotte Hornets,98,Orlando Magic,113
Miami Heat,104,Brooklyn Nets,98
Boston Celtics,116,Detroit Pistons,119
Minnesota Timberwolves,102,New York Knicks,107
Philadelphia 76ers,106,Atlanta Hawks,127
Memphis Grizzlies,85,Chicago Bulls,98
Portland Trail Blazers,90,Oklahoma City Thunder,106
Washington Wizards,95,San Antonio Spurs,114
New Orleans Pelicans,104,Utah Jazz,94
Phoenix Suns,103,Golden State Warriors,128
Milwaukee Bucks,90,Los Angeles Clippers,103
Toronto Raptors,99,Charlotte Hornets,109
Oklahoma City Thunder,100,Cleveland Cavaliers,104
Houston Rockets,107,Los Angeles Lakers,87
Brooklyn Nets,97,Indiana Pacers,104
Portland Trail Blazers,94,Orlando Magic,102
New York Knicks,107,Philadelphia 76ers,97
Atlanta Hawks,109,Boston Celtics,101
Detroit Pistons,147,Chicago Bulls,144
Toronto Raptors,108,Miami Heat,94
Sacramento Kings,95,Minnesota Timberwolves,99
Los Angeles Clippers,107,San Antonio Spurs,115
Memphis Grizzlies,88,Dallas Mavericks,97
Denver Nuggets,88,Utah Jazz,97
Milwaukee Bucks,112,Golden State Warriors,121
New Orleans Pelicans,88,Phoenix Suns,104
Los Angeles Lakers,78,Oklahoma City Thunder,118
Charlotte Hornets,101,Washington Wizards,109
Chicago Bulls,91,New York Knicks,107
Los Angeles Clippers,97,Houston Rockets,107
Indiana Pacers,84,Memphis Grizzlies,96
Minnesota Timberwolves,100,Brooklyn Nets,85
Portland Trail Blazers,109,Miami Heat,116
Philadelphia 76ers,86,Cleveland Cavaliers,108
Milwaukee Bucks,101,Phoenix Suns,95
Atlanta Hawks,103,Orlando Magic,100
Sacramento Kings,104,Toronto Raptors,94
New Orleans Pelicans,130,Denver Nuggets,125
Sacramento Kings,99,Washington Wizards,113
Minnesota Timberwolves,99,Boston Celtics,113
Orlando Magic,107,New York Knicks,99
Portland Trail Blazers,97,Atlanta Hawks,106
Brooklyn Nets,105,Chicago Bulls,102
Charlotte Hornets,95,Houston Rockets,102
Indiana Pacers,92,San Antonio Spurs,106
Phoenix Suns,89,Utah Jazz,110
Oklahoma City Thunder,100,Los Angeles Clippers,99
Memphis Grizzlies,104,Philadelphia 76ers,90
Detroit Pistons,93,Miami Heat,92
Dallas Mavericks,99,Toronto Raptors,103
Los Angeles Lakers,111,Denver Nuggets,107
Boston Celtics,102,Charlotte Hornets,89
New York Knicks,84,Cleveland Cavaliers,91
Sacramento Kings,108,Indiana Pacers,106
Houston Rockets,101,Orlando Magic,104
Memphis Grizzlies,91,Washington Wizards,100
Dallas Mavericks,119,Brooklyn Nets,118
Detroit Pistons,100,Atlanta Hawks,107
Philadelphia 76ers,100,Milwaukee Bucks,113
San Antonio Spurs,108,Minnesota Timberwolves,83
Portland Trail Blazers,89,New Orleans Pelicans,115
Denver Nuggets,104,Phoenix Suns,96
Utah Jazz,85,Golden State Warriors,103
